"approx","pvalue","zscore"
241,2.41e-07,5.03334283491618
242,2.42e-07,5.03254933315592
243,2.43e-07,5.03175898751662
244,2.44e-07,5.03097177250125
245,2.45e-07,5.03018766292229
246,2.46e-07,5.02940663389678
247,2.47e-07,5.02862866084138
248,2.48e-07,5.02785371946758
249,2.49e-07,5.02708178577698
250,2.5e-07,5.02631283605668
251,2.51e-07,5.02554684687478
252,2.52e-07,5.0247837950759
253,2.53e-07,5.02402365777687
254,2.54e-07,5.02326641236244
255,2.55e-07,5.02251203648114
256,2.56e-07,5.02176050804114
257,2.57e-07,5.02101180520626
258,2.58e-07,5.02026590639204
259,2.59e-07,5.01952279026181
260,2.6e-07,5.018782435723
261,2.61e-07,5.01804482192333
262,2.62e-07,5.01730992824722
263,2.63e-07,5.01657773431219
264,2.64e-07,5.01584821996536
265,2.65e-07,5.01512136527997
266,2.66e-07,5.01439715055206
267,2.67e-07,5.01367555629708
268,2.68e-07,5.01295656324671
269,2.69e-07,5.01224015234561
270,2.7e-07,5.0115263047483
271,2.71e-07,5.01081500181608
272,2.72e-07,5.01010622511401
273,2.73e-07,5.00939995640795
274,2.74e-07,5.00869617766162
275,2.75e-07,5.00799487103376
276,2.76e-07,5.00729601887534
277,2.77e-07,5.00659960372676
278,2.78e-07,5.00590560831514
279,2.79e-07,5.00521401555171
280,2.8e-07,5.00452480852915
281,2.81e-07,5.00383797051903
282,2.82e-07,5.00315348496931
283,2.83e-07,5.00247133550184
284,2.84e-07,5.00179150590991
285,2.85e-07,5.00111398015592
286,2.86e-07,5.00043874236897
287,2.87e-07,4.99976577684255
288,2.88e-07,4.99909506803234
289,2.89e-07,4.99842660055387
290,2.9e-07,4.99776035918045
291,2.91e-07,4.9970963288409
292,2.92e-07,4.99643449461753
293,2.93e-07,4.99577484174398
294,2.94e-07,4.99511735560322
295,2.95e-07,4.99446202172554
296,2.96e-07,4.99380882578652
297,2.97e-07,4.99315775360517
298,2.98e-07,4.99250879114193
299,2.99e-07,4.99186192449685
300,3e-07,4.9912171399077
301,3.01e-07,4.99057442374818
302,3.02e-07,4.98993376252612
303,3.03e-07,4.98929514288172
304,3.04e-07,4.98865855158583
305,3.05e-07,4.98802397553822
306,3.06e-07,4.98739140176592
307,3.07e-07,4.9867608174216
308,3.08e-07,4.9861322097819
309,3.09e-07,4.98550556624586
310,3.1e-07,4.98488087433336
311,3.11e-07,4.98425812168357
312,3.12e-07,4.98363729605339
313,3.13e-07,4.98301838531603
314,3.14e-07,4.98240137745947
315,3.15e-07,4.98178626058506
316,3.16e-07,4.98117302290606
317,3.17e-07,4.98056165274625
318,3.18e-07,4.97995213853856
319,3.19e-07,4.97934446882367
320,3.2e-07,4.97873863224874
321,3.21e-07,4.97813461756603
322,3.22e-07,4.97753241363162
323,3.23e-07,4.97693200940414
324,3.24e-07,4.97633339394352
325,3.25e-07,4.97573655640973
326,3.26e-07,4.97514148606158
327,3.27e-07,4.9745481722555
328,3.28e-07,4.97395660444436
329,3.29e-07,4.97336677217632
330,3.3e-07,4.97277866509369
331,3.31e-07,4.97219227293176
332,3.32e-07,4.97160758551771
333,3.33e-07,4.97102459276952
334,3.34e-07,4.9704432846949
335,3.35e-07,4.96986365139017
336,3.36e-07,4.96928568303929
337,3.37e-07,4.96870936991277
338,3.38e-07,4.96813470236666
339,3.39e-07,4.96756167084157
340,3.4e-07,4.96699026586166
341,3.41e-07,4.96642047803367
342,3.42e-07,4.965852298046
343,3.43e-07,4.96528571666767
344,3.44e-07,4.9647207247475
345,3.45e-07,4.96415731321311
346,3.46e-07,4.96359547307004
347,3.47e-07,4.96303519540089
348,3.48e-07,4.96247647136437
349,3.49e-07,4.96191929219451
350,3.5e-07,4.96136364919975
351,3.51e-07,4.96080953376211
352,3.52e-07,4.96025693733639
353,3.53e-07,4.9597058514493
354,3.54e-07,4.95915626769871
355,3.55e-07,4.95860817775278
356,3.56e-07,4.95806157334926
357,3.57e-07,4.95751644629465
358,3.58e-07,4.95697278846347
359,3.59e-07,4.95643059179748
360,3.6e-07,4.95588984830498
361,3.61e-07,4.95535055006004
362,3.62e-07,4.95481268920179
363,3.63e-07,4.95427625793372
364,3.64e-07,4.95374124852294
365,3.65e-07,4.95320765329955
366,3.66e-07,4.95267546465587
367,3.67e-07,4.95214467504588
368,3.68e-07,4.95161527698444
369,3.69e-07,4.9510872630467
370,3.7e-07,4.95056062586745
371,3.71e-07,4.95003535814043
372,3.72e-07,4.94951145261779
373,3.73e-07,4.94898890210939
374,3.74e-07,4.9484676994822
375,3.75e-07,4.94794783765973
376,3.76e-07,4.94742930962141
377,3.77e-07,4.94691210840198
378,3.78e-07,4.94639622709097
379,3.79e-07,4.94588165883204
380,3.8e-07,4.94536839682248
381,3.81e-07,4.94485643431265
382,3.82e-07,4.94434576460537
383,3.83e-07,4.94383638105545
384,3.84e-07,4.94332827706909
385,3.85e-07,4.94282144610338
386,3.86e-07,4.94231588166579
387,3.87e-07,4.94181157731362
388,3.88e-07,4.9413085266535
389,3.89e-07,4.9408067233409
390,3.9e-07,4.94030616107963
391,3.91e-07,4.93980683362133
392,3.92e-07,4.93930873476499
393,3.93e-07,4.93881185835651
394,3.94e-07,4.93831619828815
395,3.95e-07,4.93782174849815
396,3.96e-07,4.9373285029702
397,3.97e-07,4.93683645573304
398,3.98e-07,4.93634560085995
399,3.99e-07,4.93585593246837
400,4e-07,4.93536744471942
401,4.01e-07,4.93488013181748
402,4.02e-07,4.93439398800974
403,4.03e-07,4.93390900758584
404,4.04e-07,4.93342518487737
405,4.05e-07,4.93294251425754
406,4.06e-07,4.9324609901407
407,4.07e-07,4.93198060698197
408,4.08e-07,4.93150135927688
409,4.09e-07,4.93102324156091
410,4.1e-07,4.93054624840915
411,4.11e-07,4.93007037443587
412,4.12e-07,4.92959561429423
413,4.13e-07,4.9291219626758
414,4.14e-07,4.92864941431027
415,4.15e-07,4.92817796396505
416,4.16e-07,4.92770760644489
417,4.17e-07,4.9272383365916
418,4.18e-07,4.92677014928361
419,4.19e-07,4.92630303943566
420,4.2e-07,4.92583700199849
421,4.21e-07,4.92537203195844
422,4.22e-07,4.92490812433715
423,4.23e-07,4.92444527419122
424,4.24e-07,4.92398347661188
425,4.25e-07,4.92352272672468
426,4.26e-07,4.92306301968917
427,4.27e-07,4.92260435069854
428,4.28e-07,4.92214671497936
429,4.29e-07,4.92169010779126
430,4.3e-07,4.92123452442661
431,4.31e-07,4.92077996021023
432,4.32e-07,4.92032641049907
433,4.33e-07,4.91987387068194
434,4.34e-07,4.91942233617923
435,4.35e-07,4.91897180244257
436,4.36e-07,4.91852226495461
437,4.37e-07,4.91807371922868
438,4.38e-07,4.91762616080854
439,4.39e-07,4.91717958526812
440,4.4e-07,4.91673398821121
441,4.41e-07,4.91628936527122
442,4.42e-07,4.9158457121109
443,4.43e-07,4.91540302442209
444,4.44e-07,4.91496129792544
445,4.45e-07,4.91452052837016
446,4.46e-07,4.91408071153379
447,4.47e-07,4.91364184322192
448,4.48e-07,4.91320391926793
449,4.49e-07,4.91276693553278
450,4.5e-07,4.91233088790476
451,4.51e-07,4.91189577229922
452,4.52e-07,4.91146158465835
453,4.53e-07,4.91102832095096
454,4.54e-07,4.91059597717223
455,4.55e-07,4.91016454934348
456,4.56e-07,4.90973403351194
457,4.57e-07,4.90930442575054
458,4.58e-07,4.90887572215766
459,4.59e-07,4.90844791885695
460,4.6e-07,4.90802101199708
461,4.61e-07,4.90759499775151
462,4.62e-07,4.90716987231835
463,4.63e-07,4.90674563192004
464,4.64e-07,4.90632227280325
465,4.65e-07,4.90589979123859
466,4.66e-07,4.90547818352045
467,4.67e-07,4.90505744596679
468,4.68e-07,4.90463757491894
469,4.69e-07,4.9042185667414
470,4.7e-07,4.90380041782162
471,4.71e-07,4.90338312456985
472,4.72e-07,4.90296668341893
473,4.73e-07,4.9025510908241
474,4.74e-07,4.90213634326278
475,4.75e-07,4.90172243723446
476,4.76e-07,4.90130936926044
477,4.77e-07,4.90089713588369
478,4.78e-07,4.90048573366865
479,4.79e-07,4.90007515920108
480,4.8e-07,4.89966540908784
481,4.81e-07,4.89925647995676
482,4.82e-07,4.89884836845644
483,4.83e-07,4.89844107125609
484,4.84e-07,4.89803458504535
485,4.85e-07,4.89762890653414
486,4.86e-07,4.89722403245248
487,4.87e-07,4.89681995955034
488,4.88e-07,4.89641668459744
489,4.89e-07,4.89601420438315
490,4.9e-07,4.89561251571629
491,4.91e-07,4.89521161542498
492,4.92e-07,4.89481150035648
493,4.93e-07,4.89441216737703
494,4.94e-07,4.89401361337175
495,4.95e-07,4.89361583524441
496,4.96e-07,4.89321882991733
497,4.97e-07,4.89282259433122
498,4.98e-07,4.89242712544503
499,4.99e-07,4.89203242023582
500,5e-07,4.89163847569859
501,5.01e-07,4.89124528884616
502,5.02e-07,4.890852856709
503,5.03e-07,4.89046117633516
504,5.04e-07,4.89007024479003
505,5.05e-07,4.88968005915629
506,5.06e-07,4.88929061653373
507,5.07e-07,4.88890191403912
508,5.08e-07,4.8885139488061
509,5.09e-07,4.88812671798503
510,5.1e-07,4.88774021874284
511,5.11e-07,4.88735444826296
512,5.12e-07,4.88696940374512
513,5.13e-07,4.88658508240529
514,5.14e-07,4.8862014814755
515,5.15e-07,4.88581859820376
516,5.16e-07,4.8854364298539
517,5.17e-07,4.88505497370547
518,5.18e-07,4.88467422705363
519,5.19e-07,4.884294187209
520,5.2e-07,4.88391485149755
521,5.21e-07,4.88353621726052
522,5.22e-07,4.88315828185426
523,5.23e-07,4.88278104265011
524,5.24e-07,4.88240449703433
525,5.25e-07,4.88202864240796
526,5.26e-07,4.8816534761867
527,5.27e-07,4.88127899580083
528,5.28e-07,4.88090519869507
529,5.29e-07,4.88053208232848
530,5.3e-07,4.88015964417436
531,5.31e-07,4.87978788172014
532,5.32e-07,4.87941679246728
533,5.33e-07,4.87904637393115
534,5.34e-07,4.87867662364093
535,5.35e-07,4.87830753913953
536,5.36e-07,4.87793911798347
537,5.37e-07,4.87757135774276
538,5.38e-07,4.87720425600084
539,5.39e-07,4.87683781035446
540,5.4e-07,4.87647201841359
541,5.41e-07,4.8761068778013
542,5.42e-07,4.87574238615369
543,5.43e-07,4.87537854111981
544,5.44e-07,4.8750153403615
545,5.45e-07,4.87465278155336
546,5.46e-07,4.87429086238264
547,5.47e-07,4.87392958054914
548,5.48e-07,4.87356893376512
549,5.49e-07,4.87320891975522
550,5.5e-07,4.87284953625634
551,5.51e-07,4.87249078101762
552,5.52e-07,4.87213265180025
553,5.53e-07,4.8717751463775
554,5.54e-07,4.87141826253452
555,5.55e-07,4.87106199806835
556,5.56e-07,4.87070635078778
557,5.57e-07,4.87035131851326
558,5.58e-07,4.86999689907688
559,5.59e-07,4.8696430903222
560,5.6e-07,4.86928989010424
561,5.61e-07,4.86893729628937
562,5.62e-07,4.86858530675523
563,5.63e-07,4.86823391939064
564,5.64e-07,4.86788313209555
565,5.65e-07,4.86753294278094
566,5.66e-07,4.86718334936875
567,5.67e-07,4.8668343497918
568,5.68e-07,4.86648594199371
569,5.69e-07,4.86613812392884
570,5.7e-07,4.8657908935622
571,5.71e-07,4.86544424886938
572,5.72e-07,4.86509818783648
573,5.73e-07,4.86475270846004
574,5.74e-07,4.86440780874695
575,5.75e-07,4.8640634867144
576,5.76e-07,4.86371974038979
577,5.77e-07,4.8633765678107
578,5.78e-07,4.86303396702474
579,5.79e-07,4.86269193608959
580,5.8e-07,4.86235047307282
581,5.81e-07,4.86200957605191
582,5.82e-07,4.86166924311412
583,5.83e-07,4.86132947235648
584,5.84e-07,4.86099026188567
585,5.85e-07,4.86065160981799
586,5.86e-07,4.86031351427927
587,5.87e-07,4.85997597340485
588,5.88e-07,4.85963898533945
